Clave,Subdireccion,Eje,Indicador,Formula,Meta2026,Base2025,Fuente,Frecuencia,EstadoDato,Vs2025,Compartido,Origen,Nota,Ejemplo
H-13,Capital Humano & Legal,04. Data correcta y actualizada,Expedientes digitales completos,Expedientes con los documentos obligatorios digitalizados ÷ Plantilla,≥ 98%,Sin medición,Expediente digital,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"De 660 expedientes, 640 tienen los documentos obligatorios digitalizados. 97%. No cumple el 98%."
H-14,Capital Humano & Legal,04. Data correcta y actualizada,Tablero de personas actualizado,"Tablero de headcount, rotación, ausentismo y vacantes publicado con cierre de mes",Mensual,Sin tablero,Power BI · CH,Mensual,Por construir,Nuevo,,Propuesta Dirección,,"El tablero de headcount, rotación, ausentismo y vacantes debe publicarse con el cierre de mes. En julio salió el día 8; en agosto no se publicó. No cumple."
H-15,Capital Humano & Legal,05. Control interno y procesos,"Cumplimiento STPS, IMSS e INFONAVIT",Sanciones o requerimientos firmes en el periodo,0,Sin medición,Legal · Nómina,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,En el trimestre hubo una visita de la STPS sin observaciones y un requerimiento del IMSS que se atendió sin multa. Cero sanciones. Cumple.
H-16,Capital Humano & Legal,05. Control interno y procesos,Evaluación 360° aplicada,Subdirectores y gerentes evaluados ÷ Universo,100%,Subdirectores 100%,Este portal,Anual,Existe en sistema,Ajustado,,Propuesta Dirección,Se extiende del nivel subdirector al nivel gerente.,Universo: 6 subdirectores y 25 gerentes. Se aplicó a los 6 subdirectores y a 18 gerentes. 77%. No cumple el 100%.
H-17,Capital Humano & Legal,05. Control interno y procesos,NOM-035 cumplida,Fases de la norma implementadas y documentadas ÷ Fases exigibles,100%,Sin medición,CH,Anual,Parcial,Nuevo,,Propuesta Dirección,,"De las 4 fases exigibles (política, identificación de factores, evaluación del entorno, acciones), están documentadas 3. 75%. No cumple el 100%."
A-01,Auditoría y Riesgo,01. Vender más,Precalificación de clientes sin hallazgos bloqueantes,"Procesos de precalificación (Pemex, privados) aprobados sin observación que bloquee ÷ Procesos",100%,Sin medición,Cumplimiento · Comercial,Trimestral,Parcial,Nuevo,,Propuesta Dirección,Auditoría vende más cuando la empresa puede licitar sin trabas.,"En el trimestre hubo 3 procesos de precalificación (dos de Pemex, uno privado); los 3 se aprobaron sin observación que bloqueara. 100%. Cumple."
A-02,Auditoría y Riesgo,01. Vender más,Certificaciones corporativas vigentes,Certificaciones ISO 9001 / 14001 / 45001 y registros ASEA vigentes ÷ Requeridas,100%,Sin medición,Cumplimiento,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"Se requieren 4 certificaciones (ISO 9001, 14001, 45001 y registro ASEA); 3 están vigentes y la 45001 venció hace 20 días. 75%. No cumple el 100%."
A-03,Auditoría y Riesgo,02. Entregar mejor,Cumplimiento del plan anual de auditoría,Auditorías ejecutadas ÷ Auditorías planeadas,100%,90%,Auditoría interna,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,Catálogo 2026 fija 100%.,El plan tiene 30 auditorías; al cierre se ejecutaron 27. 90%. No cumple el 100%. Es el nivel de cierre 2025.
A-04,Auditoría y Riesgo,02. Entregar mejor,Informes de auditoría entregados en plazo,Informes emitidos ≤ 10 días hábiles del cierre de campo ÷ Auditorías ejecutadas,≥ 95%,Sin medición,Auditoría interna,Mensual,Parcial,Nuevo,,Propuesta Dirección,,Se ejecutaron 8 auditorías en el trimestre; 7 informes salieron dentro de los 10 días hábiles del cierre de campo. 88%. No cumple el 95%.
A-05,Auditoría y Riesgo,03. Resultados financieros,Exposición mitigada,$ corregido ÷ $ identificado en hallazgos con impacto económico,≥ 80%,Sin dato 2025,Auditoría interna,Trimestral,Parcial,Se mantiene,,Catálogo 2026,,Los hallazgos con impacto económico identificaron $1.5 MUSD; se corrigieron $1.1 MUSD. 73%. No cumple el 80%.
A-06,Auditoría y Riesgo,03. Resultados financieros,Recuperación por hallazgos,Monto recuperado o evitado por hallazgos ÷ Costo del área,≥ 3x,Sin medición,Auditoría interna,Trimestral,Por construir,Nuevo,,Propuesta Dirección,Programas de control interno maduros retornan 3–5x.,El área cuesta $420 KUSD al año; los hallazgos del año recuperaron o evitaron $1.1 MUSD. 2.6x. No cumple el 3x.
A-07,Auditoría y Riesgo,04. Data correcta y actualizada,Cobertura documental de procesos,Procesos críticos documentados y vigentes ÷ Universo de procesos críticos,≥ 60%,59%,Gestión de procesos,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,Catálogo 2026 fija ≥ 3/5; con base 59% la propuesta sube a 90%. Dirección decide.,"De 100 procesos críticos identificados, 59 tienen documentación vigente. 59%. No cumple el 60% del catálogo ni el 90% propuesto."
A-08,Auditoría y Riesgo,04. Data correcta y actualizada,Matriz de riesgos y controles actualizada,"Controles clave con dueño, frecuencia y evidencia vigente ÷ Controles clave",100%,Sin medición,Control y riesgo,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"De 85 controles clave, 78 tienen dueño, frecuencia y evidencia vigente en la matriz. 92%. No cumple el 100%: 7 controles quedaron sin dueño tras cambios de personal."
A-09,Auditoría y Riesgo,04. Data correcta y actualizada,Alertas del cuarto de control atendidas en plazo,Alertas cerradas dentro de SLA ÷ Alertas generadas,≥ 95%,Sin medición,Cuarto de control,Semanal,Parcial,Nuevo,,Propuesta Dirección,,El cuarto de control generó 140 alertas en la semana; 126 se cerraron dentro del SLA. 90%. No cumple el 95%.
A-10,Auditoría y Riesgo,05. Control interno y procesos,Remediación de hallazgos en plazo,Hallazgos cerrados en fecha ÷ Hallazgos comprometidos,≥ 90%,100%,Auditoría interna,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,,Se comprometieron 24 hallazgos con fecha en el mes; 22 se cerraron en plazo. 92%. Cumple el 90%.
A-11,Auditoría y Riesgo,05. Control interno y procesos,Hallazgos recurrentes,Hallazgos repetidos ÷ Total de hallazgos,< 10%,Sin dato 2025,Auditoría interna,Trimestral,Parcial,Se mantiene,,Catálogo 2026,,"De 40 hallazgos del trimestre, 6 ya se habían reportado antes. 15%. No cumple el 10%."
A-12,Auditoría y Riesgo,05. Control interno y procesos,Calidad documental vs. COSO / NIF,Documentos de control que cumplen el estándar ÷ Documentos revisados,≥ 60%,38%,Control y riesgo,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,,Se revisaron 50 documentos de control; 19 cumplen el estándar COSO / NIF. 38%. No cumple el 60%. Es el nivel de cierre 2025.
A-13,Auditoría y Riesgo,05. Control interno y procesos,Denuncias de línea ética atendidas en plazo,Denuncias resueltas ≤ 30 días ÷ Denuncias recibidas,100%,Sin medición,Cumplimiento,Mensual,Parcial,Nuevo,,Propuesta Dirección,,Se recibieron 5 denuncias en el trimestre; 4 se resolvieron en 30 días o menos. 80%. No cumple el 100%.
A-14,Auditoría y Riesgo,05. Control interno y procesos,Sanciones regulatorias,"Sanciones firmes de ASEA, STPS, CNH o SAT en el periodo",0,Sin medición,Cumplimiento,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"En el trimestre no hubo sanción firme de ASEA, STPS, CNH ni SAT. Cero. Cumple."
